MASTERID,CxDFR,PxDFR,CxPCC,PxPCC,CxPi_P1
1800,32,33,42,22,4.583333333
1800,38,32,19,24,5
1800,39,32,21,19,4.833333333
1800,38,30,23,14,5
1800,33,34,19,20,4.833333333
1801,36,37,26,27,4.333333333
1801,36,44,27,30,3.416666667
1801,32,38,35,38,3.333333333
1801,34,37,34,23,2.833333333
1801,36,35,36,30,4
1802,31,31,22,27,4.666666667
1802,27,31,23,29,4.75
1802,28,31,31,28,3.333333333
1802,29,31,38.5,27,3.458333333
1802,26,28,27,27,3
1803,29,36,22,22,4.5
1803,33,35,24,21,4
1803,30,32,21,23,4.666666667
1803,30,27.1,20,26,4.708333334
1803,28,30,19,27,3
1804,30,31,21,28,3.666666667
1804,34,34,23,35.88888889,4.75
1804,30,34,22,34,4
1804,30,37,27,36,3.833333333
1804,31,32,25,27,4.166666667
1805,33,34,22,23,3.416666667
1805,30,33,21,24,4
1805,29,35,24,29,4.333333333
1805,32,34,26,30,4.333333333
1805,32,39,24,23,3.666666667
1806,26,49,32,23,4.5
1806,48,46,47,25,2
1806,44,41,48,22,4.333333333
1806,44,44,42,19,4
1806,42,40,37,23,2.5
1807,32,38,26,24,4.583333333
1807,38,39,32,30,4
1807,34,37,27,22,4.25
1807,31,36,29,27,4.166666667
1807,29,37,30,26,2.666666667
1808,33,40,43,29,4.916666667
1808,34,36,26,27,4.666666667
1808,34,33,24,27,4.666666667
1808,29,31,24,26,4.833333333
1808,29,31,23,25,5
1809,28,35,25,24,3.416666667
1809,29,33,28,30,3
1809,24,32,25,26,2.666666667
1809,26,30.5,27.5,24.5,2.5
1809,26,33,25,29,3
1810,34,44.625,37,25,2.833333333
1810,37,43,26,25.33333333,3.75
1810,33,36,25,19,3
1810,33,25,24,19,3.416666667
1810,27,30,24,22,3.916666667
1811,49,43,21,41,3.583333333
1811,42,43,19,33,5
1811,44,44,24,38,5
1811,47,39,31,36,4
1811,42,43,28,25,4
1812,32,47,28,27,2.416666667
1812,42,41.28571429,33,24,4.166666667
1812,43,41.4375,31,24,2.166666667
1812,50,47,27,27,3.75
1812,44,40,23,30,2.416666667
1813,35.0625,43,20,25,3.666666667
1813,31,36,19,25,4.833333333
1813,34,31,19,25,4.666666667
1813,32,31,24,18,1.583333333
1813,29,30,22,26,3.416666667
1814,35,40,28,28,4.583333333
1814,33,37,25,29,4.166666667
1814,31,33,26,26,3.5
1814,33,35,25,28,3
1814,36,35,31,34,3
1815,34,34,19,20,5
1815,34,30,20,21,5
1815,33,32,20,29,5
1815,28,26,15,29,5
1815,31,26,22,23,4
1816,35,49,34.83333333,29,1.916666667
1816,35,41,31,29,4
1816,35,38,35,20,3.333333333
1816,32,39,29,22,4.916666667
1816,33,40,31,24,5
1817,35,36.125,20,25.33333333,5
1817,36,32.9375,20,24.27777778,4.666666667
1817,39,37,19,25,4.916666667
1817,33,36.125,20,25.33333333,5
1817,33,34,21,30,6
1819,28,30,26,20,4.25
1819,27.5,29.5,22,19.5,4.541666667
1819,29,34,23,20,5
1819,28.5,29,24,20.5,4.458333334
1819,35,31,33,23,5
1820,31,33,28,27,4.416666667
1820,29,30,27,29,4.833333333
1820,28,32,30,27,3.166666667
1820,29,31.875,31,28,3.666666667
1820,29,30,33,28,3.583333333
1821,34,43,20,46,4.916666667
1821,39,37,23,42,4.5
1821,30,41,12,46,5
1821,35,39,20,44,4.916666667
1821,34,35,23,50,4.583333333
1822,42,35,21.11111111,22,5
1822,30,36,21,23,4.833333333
1822,34,32,22,30,5
1822,35,30,19,29,4.458333333
1822,32,34,19,22,4
1823,29,30,23,20,3.333333333
1823,34,29,25,21,4
1823,32,24,22,19,4.833333333
1823,30,24.5,20.5,19.5,4.916666667
1823,31,26,23,24,5
1824,35,36,20,20,4.166666667
1824,34,38,21,22,3.916666667
1824,33,36.125,19,22,4.833333333
1824,30,30.90625,19,21.5,4.166666667
1824,34,33,26,21,4
1825,42,36,39,35,3.666666667
1825,39,38.25,31,27,4.333333333
1825,44,41.5,38.41666667,33,3
1825,40.375,43,29,32,3.75
1825,39,42,29,30,2
1826,31,35,44.33333333,28,3.5
1826,30,31,23,33,3
1826,28,38,26,33,4.416666667
1826,32,35,30,36,3
1826,32,34,27,24,2.5
